	sort	permil	freq
0	уставлявши	0.24580170684705235	1.0
1	избрали	0.24580170684705235	1.0
2	неоскуднии	0.24580170684705235	1.0
3	умножшуся	0.24580170684705235	1.0
4	преименитом	0.24580170684705235	1.0
5	первоздателю	0.24580170684705235	1.0
6	ежо	0.24580170684705235	1.0
7	уклонялся	1.2290085342352617	5.0
8	начатое	0.24580170684705235	1.0
9	обожаемьпищи	0.24580170684705235	1.0
10	нападающими	0.24580170684705235	1.0
11	торжествующаго	0.24580170684705235	1.0
12	посетительница	0.24580170684705235	1.0
13	метра	0.24580170684705235	1.0
14	скитался	0.4916034136941047	2.0
15	дечанскую	0.24580170684705235	1.0
16	сотаинствовницы	0.24580170684705235	1.0
17	елецкаявладимирская	0.24580170684705235	1.0
18	пречйстая	0.24580170684705235	1.0
19	насытищася	0.24580170684705235	1.0
20	присносветлый	0.4916034136941047	2.0
21	преокаяннуто	0.24580170684705235	1.0
22	лишили	0.24580170684705235	1.0
23	оттрясу	0.24580170684705235	1.0
24	совершившаяся	0.24580170684705235	1.0
25	ищущим	7.374051205411567	29.999999999999986
26	явялася	0.24580170684705235	1.0
27	неизчетный	0.24580170684705235	1.0
28	самописуется	0.24580170684705235	1.0
29	отщетился	0.24580170684705235	1.0
30	благоначалия	0.24580170684705235	1.0
31	непреоборимии	0.4916034136941047	2.0
32	попарно	0.24580170684705235	1.0
33	анкире	0.24580170684705235	1.0
34	украдающим	0.24580170684705235	1.0
35	богомудреревнуя	0.24580170684705235	1.0
36	обагренный	0.24580170684705235	1.0
37	помйлуй	0.24580170684705235	1.0
38	неискущены	0.24580170684705235	1.0
39	безбрачну	0.4916034136941047	2.0
40	стратилатом	0.24580170684705235	1.0
41	ственне	0.24580170684705235	1.0
42	обитающим	0.4916034136941047	2.0
43	обижаемых	0.24580170684705235	1.0
44	разстоящимся	0.24580170684705235	1.0
45	саморасленным	0.24580170684705235	1.0
46	вечнующыя	0.24580170684705235	1.0
47	сложенный	0.24580170684705235	1.0
48	едимо	0.24580170684705235	1.0
49	борисом	0.4916034136941047	2.0
50	окропленный	0.24580170684705235	1.0
